taxa_label,Collector,Collection_Number,Herbarium,State,County,Latitude,Longitude,ID_prior,ID_final,multiLocus,header_rITS,header_rps,header_ycf1
PINTE_3149,A. Salywon with D. Dierig,3149,ISTC,Wyoming,Sublette,42.8389,-110.5844,Physaria integrifolia,Physaria integrifolia,FALSE,PINTE_3149 rITS,FRAMESHIFT,MISSING
PINTE_43,"J. Ratcliff & S. L. O'Kane, Jr.",43,ISTC,Wyoming,Lincoln,42.7258,-110.9094,Physaria integrifolia,Physaria integrifolia,TRUE,PINTE_43 rITS,PINTE_43 rps,PINTE_43 ycf1
PINTE_44,"J. Ratcliff & S. L. O'Kane, Jr.",44,ISTC,Wyoming,Lincoln,43.1972,-110.8897,Physaria integrifolia,Physaria integrifolia,TRUE,PINTE_44 rITS,PINTE_44 rps,PINTE_44 ycf1
PINTE_68918,B. E. Nelson with D. Scott,68918,NY,Wyoming,Teton,43.7914,-110.533,Physaria integrifolia,Physaria integrifolia,FALSE,PINTE_68918 rITS,FRAMESHIFT,MISSING
POBCO_3762,Missing,3762,NA,Unknown,NA,NA,NA,Physaria obcordata,,FALSE,POBCO_3762 rITS,POBCO_3762 rps,MISSING
PSAXI_DE_4481,P. Lesica,4481,GH,Montana,Stillwater,45.4724,-110.0253,Physaria saximontana ssp. dentata,Physaria saximontana ssp. dentata,TRUE,PSAXI_DE_4481 rITS,PSAXI_DE_4481 rps,PSAXI_DE_4481 ycf1
PSAXI_DE_56,J. Ratcliff & M. Horsch,56,ISTC,Montana,Glacier,48.735,-113.3939,Physaria saximontana ssp. dentata,Physaria saximontana ssp. dentata,TRUE,PSAXI_DE_56 rITS,PSAXI_DE_56 rps,PSAXI_DE_56 ycf1
PSAXI_DE_79,R.S. Wirt,79,ISTC,Montana,Pondera,48.1384,-113.0299,Physaria saximontana ssp. dentata,Physaria saximontana ssp. dentata,FALSE,PSAXI_DE_79 rITS,PSAXI_DE_79 rps,MISSING
PSAXI_DE_89,R.S. Wirt,89,ISTC,Montana,Flathead,47.6906,-113.256,Physaria saximontana ssp. dentata,Physaria saximontana ssp. dentata,FALSE,PSAXI_DE_89 rITS,PSAXI_DE_89 rps,MISSING
PSAXI_DE_9833,P. Lesica & D. Hanna,9833,MONTU,Montana,Fergus,46.7711,-109.3573,Physaria saximontana ssp. dentata,Physaria saximontana ssp. dentata,TRUE,PSAXI_DE_9833 rITS,PSAXI_DE_9833 rps,PSAXI_DE_9833 ycf1
