label,Collection_Number,Collector.x,Collector.y,Physaria_a_priori_1,Physaria_a_priori_2,Physaria_a_priori_3,Physaria_a_priori_4,Physaria_recent,Physaria_syn,Taxon,Taxon_a_posteriori,ID_prior,ID_final,Herbarium.x,Herbarium.y,State.x,State.y,County.x,County.y,Date,Date_parsed,Date_md,App.A,Latitude,Longitude
PDORN_4376,4376,C. H. Refsdal with L. Refsdal,C. H. Refsdal with L. Refsdal,Physaria dornii,NA,NA,NA,Physaria dornii,Physaria dornii,Physaria dornii,Physaria condensata,Physaria dornii,NA,RM,RM,Wyoming,Wyoming,Uinta,Uinta,06/24/1995,1995-06-24,2019-06-24,NA,41.2648,-110.7084
PEBUR_10410,10410,R. Dorn,R. Dorn,Physaria eburniflora,NA,NA,NA,Physaria eburniflora,Physaria eburniflora,Physaria eburniflora,Physaria eburniflora,Physaria eburniflora,NA,RM,RM,Wyoming,Wyoming,Carbon,Carbon,06/20/2008,2008-06-20,2019-06-20,x,42.35,-106.4692
PEBUR_14841,14841,W. Fertig,W. Fertig,Physaria eburniflora,NA,NA,NA,Physaria eburniflora,Physaria eburniflora,Physaria eburniflora,Physaria saximontana ssp. saximontana,Physaria eburniflora,NA,RM,RM,Wyoming,Wyoming,Fremont,Fremont,06/13/1994,1994-06-13,2019-06-13,x,42.63,-108.1795
PEBUR_3120,3120,A. Salywon & D. Dierig,A. Salywon & D. Dierig,Physaria eburniflora,Physaria eburniflora,NA,NA,Physaria eburniflora,Physaria eburniflora,"Physaria eburniflora, !",Physaria eburniflora,Physaria eburniflora,NA,ISTC,ISTC,Wyoming,Wyoming,Carbon,Carbon,06/22/1996,1996-06-22,2019-06-22,x,42.3458,-107.4597
PEBUR_3121,3121,A. Salywon & D. Dierig,A. Salywon & D. Dierig,Physaria eburniflora,Physaria eburniflora,NA,NA,Physaria eburniflora,Physaria eburniflora,"Physaria eburniflora, !",Physaria eburniflora,Physaria eburniflora,NA,ISTC,ISTC,Wyoming,Wyoming,Natrona,Natrona,06/23/2000,2000-06-23,2019-06-23,x,42.4333,-107.225
PEBUR_37,37,"J. Ratcliff & S. L. O'Kane, Jr.","J. Ratcliff & S. L. O'Kane, Jr.",Physaria eburniflora,NA,NA,NA,Physaria eburniflora,Physaria eburniflora,Physaria eburniflora,Physaria eburniflora,Physaria eburniflora,NA,ISTC,ISTC,Wyoming,Wyoming,Fremont,Fremont,06/10/2014,2014-06-10,2019-06-10,x,42.3067,-107.6322
PEBUR_38,38,"J. Ratcliff & S. L. O'Kane, Jr.","J. Ratcliff & S. L. O'Kane, Jr.",Physaria eburniflora,NA,NA,NA,Physaria eburniflora,Physaria eburniflora,Physaria eburniflora,Physaria eburniflora,Physaria eburniflora,NA,ISTC,ISTC,Wyoming,Wyoming,Fremont,Fremont,06/10/2014,2014-06-10,2019-06-10,x,42.4417,-107.1967
PINTE_17493,17493,W. Fertig,W. Fertig,Physaria integrifolia,NA,NA,NA,Physaria integrifolia,Physaria integrifolia,Physaria integrifolia,Physaria integrifolia,Physaria integrifolia,NA,RM,RM,Wyoming,Wyoming,Lincoln,Lincoln,06/08/1997,1997-06-08,2019-06-08,NA,41.9268,-110.8773
PINTE_19288,19288,B. E. Nelson,B. E. Nelson,Physaria integrifolia,NA,NA,NA,Physaria integrifolia,Physaria integrifolia,Physaria integrifolia,Physaria integrifolia,Physaria integrifolia,NA,RM,RM,Wyoming,Wyoming,Teton,Teton,07/06/1990,1990-07-06,2019-07-06,x,43.6052,-110.3772
PINTE_3149,3149,A. Salywon with D. Dierig,A. Salywon with D. Dierig,Physaria didymocarpa var. integrifolia,NA,NA,NA,Physaria didymocarpa var. integrifolia,Physaria integrifolia,Physaria didymocarpa var. integrifolia,Physaria integrifolia,Physaria integrifolia,NA,ISTC,ISTC,Wyoming,Wyoming,Sublette,Sublette,06/26/1996,1996-06-26,2019-06-26,NA,42.8389,-110.5844
